Host,Games,Great Britain,Greece,Sweden,Germany,Japan,Mexico,Canada,Soviet Union,United States,South Korea,Spain,Australia,China,Brazil,France,Belgium,Netherlands,Finland,Italy
Greece,1896,5,2,,3,,,,,1,,,8,,,4,,,,
France,1900,3,,20,7,,20,13,,2,,14,9,,,1,6,18,,8
United States,1904,9,8,,2,,,4,,1,,,11,,,13,,,,
Great Britain,1908,1,15,3,5,,,7,,2,,,,,,4,10,17,13,9
Sweden,1912,3,15,2,6,,,9,,1,,,,,,6,13,18,4,11
None,1916,,,,,,,,,,,,,,,,,,,
Belgium,1920,3,19,2,,17,,12,,1,,17,16,,15,4,5,9,4,7
France,1924,4,,8,,23,,20,,1,,,11,,,3,10,9,2,5
Netherlands,1928,11,,4,2,15,,10,,1,,24,19,,,5,29,8,3,5
United States,1932,8,,4,9,5,21,12,,1,,26,10,,,6,,13,7,2
Germany,1936,10,,7,1,8,28,17,,2,,,30,,,5,29,9,5,4
None,1940,,,,,,,,,,,,,,,,,,,
None,1944,,,,,,,,,,,,,,,,,,,
Great Britain,1948,12,,2,,,17,25,,1,32,28,14,,34,3,15,11,6,5
Finland,1952,18,,4,28,17,34,21,2,1,37,34,9,,24,8,14,29,8,5
Australia,1956,8,35,6,,10,23,15,1,2,29,,3,,24,11,28,–,13,5
Italy,1960,12,21,16,,8,41,32,1,2,,41,5,,39,25,26,28,17,3
Japan,1964,10,,17,,3,35,22,2,1,27,,8,,35,10,20,15,12,5
Mexico,1968,10,42,20,,3,15,23,2,1,36,,9,,35,10,36,17,24,13
Germany,1972,12,29,11,,5,33,27,1,2,33,43,6,,41,14,29,16,14,10
Canada,1976,13,,12,,5,25,27,1,3,19,30,32,,36,14,28,29,11,14
Soviet Union,1980,9,22,11,,,29,,1,,,20,15,,17,10,23,30,12,5
United States,1984,11,30,16,,7,17,6,,1,10,20,14,4,19,9,21,13,15,5
South Korea,1988,12,46,32,,14,44,19,1,3,4,25,15,11,24,11,44,22,25,10
Spain,1992,13,26,27,3,17,49,11,,2,7,6,10,4,25,8,44,20,29,12
United States,1996,36,16,29,3,23,71,21,,1,10,13,7,4,25,6,31,15,40,6
Australia,2000,10,17,18,5,15,40,24,,1,12,25,4,3,53,6,55,8,31,7
Greece,2004,10,15,19,6,5,59,21,,1,9,20,4,2,16,7,51,18,62,8
China,2008,4,60,55,5,8,36,20,,2,7,14,6,1,23,10,37,11,44,9
Great Britain,2012,3,76,37,6,11,38,27,,1,5,17,8,2,22,7,60,12,60,9
Brazil,2016,2,26,29,5,6,61,20,,1,8,14,10,3,13,6,35,11,78,9
Japan,2020,4,36,23,9,3,84,11,,1,16,22,6,2,12,8,29,7,85,10
